ID,Host,Era,Location,Color_Code
SRR6241768,Human,Modern,Global,#808080
SRR6241757,Human,Modern,Global,#808080
SRR6241782,Human,Modern,Global,#808080
SRR6241784,Human,Modern,Global,#808080
SRR6241773,Human,Modern,Global,#808080
SRR6241778,Human,Modern,Global,#808080
SRR6241781,Human,Modern,Global,#808080
SRR6241779,Human,Modern,Global,#808080
SRR6241785,Human,Modern,Global,#808080
SRR847083,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR6241758,Human,Modern,Global,#808080
SRR6241800,Human,Modern,Global,#808080
SRR6241771,Human,Modern,Global,#808080
SRR6241767,Human,Modern,Global,#808080
SRR847060,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847088,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847059,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847085,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR6241812,Human,Modern,Global,#808080
SRR6241738,Human,Modern,Global,#808080
SRR6241786,Human,Modern,Global,#808080
SRR847087,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR6241750,Human,Modern,Global,#808080
SRR6241794,Human,Modern,Global,#808080
SRR6241809,Human,Modern,Global,#808080
SRR6241749,Human,Modern,Global,#808080
SRR6241761,Human,Modern,Global,#808080
SRR6241792,Human,Modern,Global,#808080
SRR6241725,Human,Modern,Global,#808080
SRR6241807,Human,Modern,Global,#808080
SRR6241728,Human,Modern,Global,#808080
SRR6241729,Human,Modern,Global,#808080
SRR6241736,Human,Modern,Global,#808080
SRR6241788,Human,Modern,Global,#808080
SRR6241717,Human,Modern,Global,#808080
SRR6241719,Human,Modern,Global,#808080
SRR6241720,Human,Modern,Global,#808080
SRR6241731,Human,Modern,Global,#808080
SRR6241735,Human,Modern,Global,#808080
SRR6241732,Human,Modern,Global,#808080
SRR6241742,Human,Modern,Global,#808080
SRR6241733,Human,Modern,Global,#808080
SRR6241734,Human,Modern,Global,#808080
SRR6241744,Human,Modern,Global,#808080
SRR6241743,Human,Modern,Global,#808080
SRR6241798,Human,Modern,Global,#808080
SRR6241790,Human,Modern,Global,#808080
SRR6241726,Human,Modern,Global,#808080
SRR6241764,Human,Modern,Global,#808080
SRR6241777,Human,Modern,Global,#808080
SRR6241795,Human,Modern,Global,#808080
SRR6241787,Human,Modern,Global,#808080
SRR6241775,Human,Modern,Global,#808080
SRR6241814,Human,Modern,Global,#808080
SRR6241811,Human,Modern,Global,#808080
SRR6241783,Human,Modern,Global,#808080
SRR6241789,Human,Modern,Global,#808080
SRR6241791,Human,Modern,Global,#808080
SRR6241793,Human,Modern,Global,#808080
SRR6241815,Human,Modern,Global,#808080
SRR6241774,Human,Modern,Global,#808080
SRR6241810,Human,Modern,Global,#808080
SRR6241808,Human,Modern,Global,#808080
SRR6241776,Human,Modern,Global,#808080
SRR847086,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR6241806,Human,Modern,Global,#808080
SRR3330054,Human,Modern,Global,#808080
